Level	Rule Name	Subject	Property	Value
WARN	multiple_asserted_superclasses	GO:0005730	rdfs:subClassOf	GO:0043232	
WARN	multiple_asserted_superclasses	GO:0005730	rdfs:subClassOf	GO:0044428	
WARN	multiple_asserted_superclasses	GO:0005773	rdfs:subClassOf	GO:0043231	
WARN	multiple_asserted_superclasses	GO:0005773	rdfs:subClassOf	GO:0044444	
WARN	multiple_asserted_superclasses	GO:0006865	rdfs:subClassOf	GO:0046942	
WARN	multiple_asserted_superclasses	GO:0006865	rdfs:subClassOf	GO:0071705	
WARN	multiple_asserted_superclasses	GO:0006897	rdfs:subClassOf	GO:0016192	
WARN	multiple_asserted_superclasses	GO:0006897	rdfs:subClassOf	GO:0098657	
WARN	multiple_asserted_superclasses	GO:0006955	rdfs:subClassOf	GO:0002376	
WARN	multiple_asserted_superclasses	GO:0006955	rdfs:subClassOf	GO:0050896	
WARN	multiple_asserted_superclasses	GO:0007269	rdfs:subClassOf	GO:0001505	
WARN	multiple_asserted_superclasses	GO:0007269	rdfs:subClassOf	GO:0006836	
WARN	multiple_asserted_superclasses	GO:0007269	rdfs:subClassOf	GO:0051649	
WARN	multiple_asserted_superclasses	GO:0007269	rdfs:subClassOf	GO:0099531	
WARN	multiple_asserted_superclasses	GO:0007269	rdfs:subClassOf	GO:0099643	
WARN	multiple_asserted_superclasses	GO:0014047	rdfs:subClassOf	GO:0006835	
WARN	multiple_asserted_superclasses	GO:0014047	rdfs:subClassOf	GO:0006865	
WARN	multiple_asserted_superclasses	GO:0014047	rdfs:subClassOf	GO:0032940	
WARN	multiple_asserted_superclasses	GO:0014047	rdfs:subClassOf	GO:0046717	
WARN	multiple_asserted_superclasses	GO:0014051	rdfs:subClassOf	GO:0015812	
WARN	multiple_asserted_superclasses	GO:0014051	rdfs:subClassOf	GO:0046717	
WARN	multiple_asserted_superclasses	GO:0015711	rdfs:subClassOf	GO:0006820	
WARN	multiple_asserted_superclasses	GO:0015711	rdfs:subClassOf	GO:0071702	
WARN	multiple_asserted_superclasses	GO:0015812	rdfs:subClassOf	GO:0006836	
WARN	multiple_asserted_superclasses	GO:0015812	rdfs:subClassOf	GO:0006865	
WARN	multiple_asserted_superclasses	GO:0015812	rdfs:subClassOf	GO:0015718	
WARN	multiple_asserted_superclasses	GO:0016043	rdfs:subClassOf	GO:0009987	
WARN	multiple_asserted_superclasses	GO:0016043	rdfs:subClassOf	GO:0071840	
WARN	multiple_asserted_superclasses	GO:0019226	rdfs:subClassOf	GO:0035637	
WARN	multiple_asserted_superclasses	GO:0019226	rdfs:subClassOf	GO:0050877	
WARN	multiple_asserted_superclasses	GO:0030098	rdfs:subClassOf	GO:0002521	
WARN	multiple_asserted_superclasses	GO:0030098	rdfs:subClassOf	GO:0046649	
WARN	multiple_asserted_superclasses	GO:0030224	rdfs:subClassOf	GO:0002573	
WARN	multiple_asserted_superclasses	GO:0030224	rdfs:subClassOf	GO:1903131	
WARN	multiple_asserted_superclasses	GO:0031410	rdfs:subClassOf	GO:0044444	
WARN	multiple_asserted_superclasses	GO:0031410	rdfs:subClassOf	GO:0097708	
WARN	multiple_asserted_superclasses	GO:0032940	rdfs:subClassOf	GO:0009987	
WARN	multiple_asserted_superclasses	GO:0032940	rdfs:subClassOf	GO:0046903	
WARN	multiple_asserted_superclasses	GO:0035637	rdfs:subClassOf	GO:0023052	
WARN	multiple_asserted_superclasses	GO:0035637	rdfs:subClassOf	GO:0032501	
WARN	multiple_asserted_superclasses	GO:0042582	rdfs:subClassOf	GO:0005766	
WARN	multiple_asserted_superclasses	GO:0042582	rdfs:subClassOf	GO:0030141	
WARN	multiple_asserted_superclasses	GO:0043011	rdfs:subClassOf	GO:0001773	
WARN	multiple_asserted_superclasses	GO:0043011	rdfs:subClassOf	GO:0002573	
WARN	multiple_asserted_superclasses	GO:0043011	rdfs:subClassOf	GO:0097028	
WARN	multiple_asserted_superclasses	GO:0043229	rdfs:subClassOf	GO:0043226	
WARN	multiple_asserted_superclasses	GO:0043229	rdfs:subClassOf	GO:0044424	
WARN	multiple_asserted_superclasses	GO:0043231	rdfs:subClassOf	GO:0043227	
WARN	multiple_asserted_superclasses	GO:0043231	rdfs:subClassOf	GO:0043229	
WARN	multiple_asserted_superclasses	GO:0043232	rdfs:subClassOf	GO:0043228	
WARN	multiple_asserted_superclasses	GO:0043232	rdfs:subClassOf	GO:0043229	
WARN	multiple_asserted_superclasses	GO:0044446	rdfs:subClassOf	GO:0044422	
WARN	multiple_asserted_superclasses	GO:0044446	rdfs:subClassOf	GO:0044424	
WARN	multiple_asserted_superclasses	GO:0044459	rdfs:subClassOf	GO:0044425	
WARN	multiple_asserted_superclasses	GO:0044459	rdfs:subClassOf	GO:0044464	
WARN	multiple_asserted_superclasses	GO:0044464	rdfs:subClassOf	CARO:0000014	
WARN	multiple_asserted_superclasses	GO:0044464	rdfs:subClassOf	GO:0005575	
WARN	multiple_asserted_superclasses	GO:0045087	rdfs:subClassOf	GO:0006952	
WARN	multiple_asserted_superclasses	GO:0045087	rdfs:subClassOf	GO:0006955	
WARN	multiple_asserted_superclasses	GO:0045321	rdfs:subClassOf	GO:0001775	
WARN	multiple_asserted_superclasses	GO:0045321	rdfs:subClassOf	GO:0002376	
WARN	multiple_asserted_superclasses	GO:0046942	rdfs:subClassOf	GO:0015711	
WARN	multiple_asserted_superclasses	GO:0046942	rdfs:subClassOf	GO:0015849	
WARN	multiple_asserted_superclasses	GO:0048869	rdfs:subClassOf	GO:0009987	
WARN	multiple_asserted_superclasses	GO:0048869	rdfs:subClassOf	GO:0032502	
WARN	multiple_asserted_superclasses	GO:0048870	rdfs:subClassOf	GO:0006928	
WARN	multiple_asserted_superclasses	GO:0048870	rdfs:subClassOf	GO:0040011	
WARN	multiple_asserted_superclasses	GO:0055007	rdfs:subClassOf	GO:0035051	
WARN	multiple_asserted_superclasses	GO:0055007	rdfs:subClassOf	GO:0051146	
WARN	multiple_asserted_superclasses	GO:0061534	rdfs:subClassOf	GO:0007269	
WARN	multiple_asserted_superclasses	GO:0061534	rdfs:subClassOf	GO:0014051	
WARN	multiple_asserted_superclasses	GO:0061535	rdfs:subClassOf	GO:0007269	
WARN	multiple_asserted_superclasses	GO:0061535	rdfs:subClassOf	GO:0014047	
WARN	multiple_asserted_superclasses	GO:0097708	rdfs:subClassOf	GO:0031982	
WARN	multiple_asserted_superclasses	GO:0097708	rdfs:subClassOf	GO:0043229	
WARN	multiple_asserted_superclasses	GO:0098796	rdfs:subClassOf	GO:0043234	
WARN	multiple_asserted_superclasses	GO:0098796	rdfs:subClassOf	GO:0044425	
WARN	multiple_asserted_superclasses	GO:0098797	rdfs:subClassOf	GO:0044459	
WARN	multiple_asserted_superclasses	GO:0098797	rdfs:subClassOf	GO:0098796	
WARN	multiple_asserted_superclasses	UBERON:0000010	rdfs:subClassOf	CARO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0000010	rdfs:subClassOf	UBERON:0011216	
WARN	multiple_asserted_superclasses	UBERON:0000014	rdfs:subClassOf	UBERON:0004121	
WARN	multiple_asserted_superclasses	UBERON:0000014	rdfs:subClassOf	UBERON:0034944	
WARN	multiple_asserted_superclasses	UBERON:0000019	rdfs:subClassOf	UBERON:0000047	
WARN	multiple_asserted_superclasses	UBERON:0000019	rdfs:subClassOf	UBERON:0004121	
WARN	multiple_asserted_superclasses	UBERON:0000019	rdfs:subClassOf	UBERON:0010314	
WARN	multiple_asserted_superclasses	UBERON:0000019	rdfs:subClassOf	UBERON:0015212	
WARN	multiple_asserted_superclasses	UBERON:0000042	rdfs:subClassOf	UBERON:0000481	
WARN	multiple_asserted_superclasses	UBERON:0000042	rdfs:subClassOf	UBERON:0004120	
WARN	multiple_asserted_superclasses	UBERON:0000066	rdfs:subClassOf	BFO:0000003	
WARN	multiple_asserted_superclasses	UBERON:0000066	rdfs:subClassOf	UBERON:0000105	
